STATES,ANTI_SOCIAL_BEHAVIOUR,BICYCLE_THEFT,BURGLARY,CRIMINAL_DAMAGE_AND_ARSON,DRUGS,OTHER_CRIME,OTHER_THEFT,POSSESSION_OF_WEAPONS,PUBLIC_ORDER,ROBBERY,SHOPLIFTING,THEFT_FROM_PERSON,VEHICLE_CRIME,VIOLENCE_AND_SEXUAL_OFFENCES
AMBER VALLEY,300,2,68,65,19,5,44,3,8,2,55,2,72,104
ASHFIELD,4,0,1,0,1,0,0,0,0,0,0,0,0,1
BARNSLEY,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASSETLAW,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BLACKPOOL,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BOLSOVER,175,2,32,51,13,4,43,4,8,0,16,0,51,68
BRADFORD,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BROXTOWE,5,0,0,0,1,0,0,0,0,0,0,0,0,0
CHESTERFIELD,324,0,45,83,14,6,62,6,16,2,75,7,35,126
DERBY,1052,56,182,247,77,27,227,15,50,38,214,36,245,430
DERBYSHIRE DALES,58,1,30,28,1,8,16,0,2,0,13,1,81,24
EAST STAFFORDSHIRE,2,0,1,2,0,2,1,0,0,0,0,0,2,1
EREWASH,285,8,83,111,15,9,61,5,12,3,65,10,67,106
FYLDE,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HIGH PEAK,220,3,43,54,4,10,28,2,9,4,37,4,46,89
HINCKLEY AND BOSWORTH,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KNOWSLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MANCHESTER,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MANSFIELD,1,0,0,1,0,1,0,0,0,0,0,0,0,1
MELTON,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NORTH EAST DERBYSHIRE,178,1,30,37,5,9,20,0,3,1,14,2,34,64
NORTH WEST LEICESTERS,3,0,0,0,0,0,1,0,0,0,0,0,0,1
NOTTINGHAM,0,0,0,1,0,1,0,0,0,0,0,0,1,2
READING,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ROTHERHAM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEFFIELD,3,0,1,0,1,0,0,0,0,0,0,0,0,0
SOUTH  DERBYSHRIE,160,1,53,25,11,10,36,3,5,2,31,1,69,65
STAFFORDSHIRE MOORLANDS,2,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMESIDE,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFORD,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WARWICK,0,0,0,0,1,0,0,0,0,0,0,0,0,0
